"","race","classtype","yearssmall","hsgrad","g4math","g4reading"
"834",1,2,0,NA,732,750
"835",1,3,0,1,709,642
"836",2,3,0,NA,NA,NA
"837",1,1,4,1,698,782
"838",1,2,0,NA,NA,NA
"839",1,3,0,0,719,694
"840",1,1,4,NA,711,751
"841",1,3,0,1,NA,NA
"842",1,1,3,1,NA,NA
"843",1,2,0,1,NA,NA
"844",1,1,2,1,NA,NA
"845",1,3,0,NA,692,738
"846",1,1,4,NA,716,722
"847",1,2,0,1,NA,NA
"848",1,2,0,NA,661,629
"849",1,3,0,0,754,763
"850",1,1,1,NA,NA,NA
"851",1,2,3,1,726,757
"852",1,3,0,1,NA,NA
"853",1,1,4,0,684,731
"854",1,1,4,1,662,632
"855",1,3,0,1,NA,NA
"856",1,1,4,NA,677,723
"857",1,2,0,1,NA,NA
"858",1,2,2,1,771,739
"859",1,2,0,1,664,700
"860",1,2,0,NA,NA,NA
"861",1,3,0,NA,NA,NA
"862",2,2,0,0,NA,NA
"863",1,2,0,1,821,705
"864",1,1,1,0,NA,NA
"865",2,1,1,NA,NA,NA
"866",2,2,0,NA,NA,NA
"867",1,3,0,1,718,711
"868",1,3,2,1,691,721
"869",1,3,0,NA,758,750
"870",1,2,0,1,NA,NA
"871",1,3,0,1,NA,NA
"872",1,1,3,NA,652,626
"873",1,1,4,1,747,736
"874",1,3,0,0,683,NA
"875",1,3,3,NA,729,NA
"876",1,2,0,0,700,NA
"877",1,2,3,1,726,NA
"878",1,1,4,1,741,NA
"879",1,3,0,NA,NA,NA
"880",1,3,0,NA,NA,NA
"881",1,2,0,NA,670,712
"882",1,3,0,NA,NA,NA
"883",1,2,0,1,NA,NA
"884",1,1,4,1,690,711
"885",1,2,3,NA,729,760
"886",1,3,0,1,729,725
"887",1,1,4,NA,719,750
"888",1,1,4,1,703,701
"889",1,1,4,0,699,697
"890",1,2,0,1,648,677
"891",1,2,0,1,717,836
"892",1,1,3,NA,NA,NA
"893",1,2,3,NA,NA,NA
"894",1,3,0,1,744,770
"895",1,2,0,NA,643,646
"896",1,3,3,NA,667,782
"897",1,3,0,1,679,695
"898",1,1,1,NA,NA,NA
"899",1,2,0,NA,NA,NA
"900",1,2,0,1,NA,NA
"901",1,2,0,1,NA,NA
"902",1,2,0,1,728,760
"903",1,3,0,1,765,745
"904",1,3,0,NA,NA,NA
"905",1,2,0,1,690,695
"906",1,1,4,1,724,737
"907",1,2,1,0,NA,NA
"908",1,1,4,1,758,714
"909",1,3,0,1,769,784
"910",1,3,0,1,NA,NA
"911",1,3,0,NA,767,771
"912",1,1,4,1,686,745
"913",1,2,0,1,716,763
"914",1,2,0,1,NA,NA
"915",2,3,0,NA,NA,NA
"916",1,2,0,NA,NA,NA
"917",1,2,0,0,681,728
"918",1,1,2,1,NA,NA
"919",1,2,0,1,704,668
"920",1,1,4,1,783,836
"921",1,3,0,NA,714,717
"922",1,2,0,NA,NA,NA
"923",1,3,0,NA,NA,NA
"924",1,1,4,1,699,724
"925",1,3,3,NA,739,756
"926",1,1,4,1,636,697
"927",1,1,4,NA,696,794
"928",1,1,1,NA,NA,NA
"929",1,2,0,0,531,641
"930",1,3,0,1,758,760
"931",1,3,0,NA,NA,NA
"932",1,2,0,1,696,688
"933",1,1,4,1,738,685
"934",1,3,0,NA,698,785
"935",1,3,2,NA,NA,NA
"936",1,3,1,1,689,662
"937",1,1,1,NA,NA,NA
"938",1,1,4,NA,704,763
"939",1,2,0,1,696,734
"940",1,2,0,NA,NA,NA
"941",2,3,0,1,NA,NA
"942",1,1,1,NA,NA,NA
"943",1,1,4,1,789,750
"944",1,3,0,0,NA,NA
"945",1,1,4,NA,704,725
"946",1,2,0,NA,NA,NA
"947",6,3,0,1,741,778
"948",1,1,4,1,779,782
"949",1,2,0,1,637,691
"950",1,2,0,1,739,771
"951",1,1,4,NA,648,528
"952",1,2,0,0,NA,NA
"953",1,1,4,1,689,705
"954",1,3,0,1,657,705
"955",1,2,0,1,701,652
"956",1,3,0,NA,676,749
"957",1,3,3,1,723,741
"958",2,1,1,NA,NA,NA
"959",1,1,1,NA,NA,NA
"960",1,2,3,1,691,763
"961",1,2,0,0,NA,NA
"962",1,1,1,NA,NA,NA
"963",1,3,0,1,715,755
"964",2,2,0,NA,NA,NA
"965",1,3,0,NA,NA,NA
"966",1,3,0,NA,676,652
"967",2,3,0,NA,NA,NA
"968",1,3,1,NA,NA,NA
"969",1,1,4,1,679,660
"970",1,3,0,0,NA,NA
"971",1,2,0,NA,736,691
"972",1,2,0,1,NA,NA
"973",1,2,0,1,695,738
"974",1,2,3,0,707,760
"975",1,3,0,0,NA,NA
"976",1,3,0,0,726,692
"977",1,3,0,1,733,703
"978",2,2,0,NA,NA,NA
"979",1,1,2,1,NA,NA
"980",2,2,0,1,707,721
"981",1,1,4,NA,715,715
"982",1,3,0,NA,730,836
"983",1,3,2,NA,695,679
"984",1,3,0,NA,727,689
"985",1,2,0,1,NA,NA
"986",1,2,0,1,NA,NA
"987",1,2,0,1,727,689
"988",1,2,0,NA,767,750
"989",1,3,0,1,645,683
"990",1,3,0,1,711,753
"991",1,3,0,1,741,686
"992",1,2,0,1,711,751
"993",1,2,0,1,741,724
"994",2,3,0,1,NA,NA
"995",1,1,4,NA,NA,NA
"996",1,1,4,1,741,836
"997",1,2,0,NA,NA,NA
"998",1,1,4,0,672,690
"999",1,2,0,NA,758,741
"1000",1,1,4,NA,NA,NA
"1001",1,1,2,NA,NA,NA
"1002",1,3,0,NA,NA,NA
"1003",1,3,0,1,728,794
"1004",1,1,4,1,708,730
"1005",1,3,0,NA,NA,NA
"1006",1,3,0,NA,696,699
"1007",1,2,0,NA,704,735
"1008",1,2,0,1,721,743
"1009",1,3,3,NA,716,836
"1010",1,1,4,1,744,709
"1011",1,3,3,NA,696,707
"1012",1,3,0,NA,NA,NA
"1013",1,2,0,NA,NA,NA
"1014",1,3,0,1,NA,NA
"1015",1,2,0,1,709,699
"1016",1,2,0,1,NA,NA
"1017",1,2,0,1,702,722
"1018",1,1,4,1,758,750
"1019",1,2,0,NA,758,676
"1020",2,2,0,1,692,740
"1021",2,1,2,NA,NA,NA
"1022",1,3,0,NA,NA,NA
"1023",1,1,4,1,752,778
"1024",1,3,0,NA,NA,NA
"1025",1,3,0,1,694,750
"1026",1,3,0,1,NA,NA
"1027",1,3,0,NA,NA,NA
"1028",1,1,4,1,821,836
"1029",1,3,0,1,754,710
"1030",1,1,2,NA,NA,NA
"1031",1,2,2,1,696,686
"1032",1,2,0,NA,758,717
"1033",1,3,0,1,703,702
"1034",1,3,3,1,714,751
"1035",1,2,0,NA,NA,NA
"1036",1,3,1,1,718,685
"1037",1,1,4,NA,645,701
"1038",1,3,0,NA,NA,NA
"1039",1,2,0,NA,769,707
"1040",2,3,3,NA,647,564
"1041",1,2,0,NA,NA,NA
"1042",2,1,1,NA,NA,NA
"1043",2,1,4,0,711,750
"1044",2,1,1,1,NA,NA
"1045",2,3,0,NA,NA,NA
"1046",2,3,0,NA,672,698
"1047",2,3,0,0,NA,NA
"1048",2,3,2,NA,NA,NA
"1049",2,2,0,0,NA,NA
"1050",2,3,0,NA,NA,NA
"1051",1,2,0,NA,NA,NA
"1052",2,2,0,NA,691,686
"1053",1,1,4,NA,682,673
"1054",2,2,0,1,736,678
"1055",2,1,2,1,NA,NA
"1056",2,3,0,NA,NA,NA
"1057",2,1,2,0,NA,NA
"1058",2,2,0,1,NA,NA
"1059",2,1,2,1,731,737
"1060",2,1,4,NA,NA,NA
"1061",2,2,0,NA,NA,NA
"1062",2,3,0,NA,711,701
"1063",2,3,0,NA,NA,NA
"1064",2,1,3,1,NA,NA
"1065",1,2,0,NA,NA,NA
"1066",2,2,0,NA,NA,NA
"1067",2,1,4,1,NA,NA
"1068",2,3,0,NA,NA,NA
"1069",2,1,4,NA,NA,NA
"1070",2,1,1,NA,NA,NA
"1071",2,1,4,NA,NA,NA
"1072",2,3,1,0,NA,NA
"1073",2,2,0,NA,NA,NA
"1074",2,2,0,NA,NA,NA
"1075",1,3,0,NA,NA,NA
"1076",2,1,3,NA,NA,NA
"1077",1,3,0,1,724,656
"1078",1,2,0,NA,NA,NA
"1079",1,3,0,1,NA,NA
"1080",1,1,4,0,689,738
"1081",1,3,0,1,693,754
"1082",1,2,1,1,681,760
"1083",1,2,0,1,779,763
"1084",1,1,4,1,714,660
"1085",1,1,4,NA,NA,NA
"1086",1,1,4,NA,694,749
"1087",2,2,0,1,NA,NA
"1088",1,2,0,NA,702,687
"1089",1,2,0,NA,NA,NA
"1090",1,2,0,1,703,657
"1091",1,2,0,0,NA,NA
"1092",1,1,1,1,NA,NA
"1093",1,2,1,NA,NA,NA
"1094",1,1,4,NA,685,669
"1095",1,3,0,1,742,836
"1096",1,1,4,1,728,714
"1097",1,2,0,NA,NA,NA
"1098",1,2,0,NA,NA,NA
"1099",1,2,0,1,686,710
"1100",1,2,0,1,715,693
"1101",1,2,0,NA,731,781
"1102",1,1,1,1,NA,NA
"1103",1,1,4,NA,NA,NA
"1104",1,1,4,1,744,770
"1105",1,2,0,NA,NA,NA
"1106",2,3,0,NA,NA,NA
"1107",2,1,1,NA,NA,NA
"1108",2,3,0,1,658,673
"1109",2,3,0,1,NA,NA
"1110",1,3,0,1,712,711
"1111",1,1,2,NA,NA,NA
"1112",1,3,0,1,694,732
"1113",1,2,0,1,744,750
"1114",1,3,0,1,719,721
"1115",1,2,0,NA,NA,NA
"1116",1,1,4,1,652,650
"1117",1,2,0,1,699,712
"1118",1,2,0,NA,821,836
"1119",1,2,0,1,NA,NA
"1120",1,2,1,NA,615,637
"1121",1,3,0,1,767,735
"1122",1,3,1,NA,NA,NA
"1123",1,2,0,1,711,748
"1124",1,3,2,1,710,794
"1125",1,3,0,1,678,760
"1126",1,2,0,1,732,749
"1127",1,1,4,NA,NA,NA
"1128",1,3,0,1,706,711
"1129",1,2,0,NA,703,745
"1130",1,1,4,NA,726,738
"1131",1,1,1,NA,NA,734
"1132",1,1,4,1,741,735
"1133",1,2,0,1,728,731
"1134",2,3,0,1,688,666
"1135",1,3,0,NA,730,742
"1136",1,3,0,1,717,705
"1137",1,1,4,1,728,731
"1138",1,1,3,NA,NA,NA
"1139",1,1,4,1,708,760
"1140",1,1,3,1,724,725
"1141",1,2,0,NA,674,740
"1142",2,2,0,NA,NA,NA
"1143",1,1,4,1,692,690
"1144",1,3,0,1,NA,NA
"1145",1,2,0,1,691,712
"1146",1,1,4,1,744,684
"1147",2,1,4,1,741,733
"1148",1,1,2,NA,NA,NA
"1149",1,2,3,1,685,705
"1150",1,2,0,NA,NA,NA
"1151",2,1,1,NA,NA,NA
"1152",1,2,3,1,725,836
"1153",1,2,0,1,NA,NA
"1154",2,3,0,0,NA,NA
"1155",2,2,0,NA,NA,NA
"1156",2,1,2,NA,NA,NA
"1157",2,3,0,1,725,742
"1158",2,2,0,NA,NA,NA
"1159",1,3,0,NA,NA,NA
"1160",1,2,0,NA,NA,NA
"1161",2,1,1,NA,NA,NA
"1162",1,2,0,1,729,715
"1163",2,1,2,1,NA,NA
"1164",1,1,3,1,744,739
"1165",2,1,4,0,NA,NA
"1166",2,1,4,0,NA,NA
"1167",2,3,0,NA,NA,NA
"1168",1,3,0,1,NA,NA
"1169",1,1,2,1,NA,NA
"1170",2,2,0,NA,NA,NA
"1171",2,2,2,NA,NA,NA
"1172",2,2,0,NA,NA,NA
"1173",2,2,3,1,712,778
"1174",2,3,0,NA,693,727
"1175",2,2,0,1,NA,NA
"1176",1,1,4,NA,NA,NA
"1177",1,3,0,NA,NA,NA
"1178",2,2,0,1,NA,NA
"1179",1,1,3,NA,NA,NA
"1180",2,3,0,1,NA,NA
"1181",2,2,0,NA,633,666
"1182",1,1,4,NA,NA,NA
"1183",1,1,4,1,738,736
"1184",1,3,0,NA,NA,NA
"1185",1,2,0,1,NA,NA
"1186",1,1,4,NA,639,700
"1187",1,3,0,1,821,784
"1188",1,2,0,NA,NA,NA
"1189",2,2,0,1,NA,NA
"1190",2,1,4,NA,NA,NA
"1191",1,1,1,NA,NA,NA
"1192",2,3,0,1,NA,NA
"1193",2,3,0,1,NA,NA
"1194",2,3,0,NA,NA,NA
"1195",2,3,0,NA,NA,NA
"1196",2,3,0,NA,NA,NA
"1197",2,3,0,0,NA,NA
"1198",3,2,0,NA,731,782
"1199",1,1,3,1,NA,NA
"1200",2,3,0,0,NA,NA
"1201",2,2,3,1,769,736
"1202",1,1,4,NA,693,623
"1203",1,1,4,1,752,691
"1204",1,1,4,NA,NA,NA
"1205",1,2,0,0,NA,NA
"1206",2,2,0,NA,NA,NA
"1207",1,2,2,NA,706,745
"1208",1,2,0,NA,632,528
"1209",1,2,1,0,NA,NA
"1210",1,3,0,NA,NA,NA
"1211",1,1,4,1,653,683
"1212",1,3,0,NA,687,699
"1213",1,3,0,NA,NA,NA
"1214",2,2,0,NA,NA,NA
"1215",2,1,2,NA,NA,NA
"1216",2,2,0,1,NA,NA
"1217",2,3,0,NA,NA,NA
"1218",2,1,4,0,707,721
"1219",2,1,4,NA,732,733
"1220",2,3,1,1,NA,NA
"1221",1,3,3,1,714,NA
"1222",1,2,0,1,732,700
"1223",2,1,4,NA,NA,NA
"1224",2,1,2,NA,NA,NA
"1225",2,3,0,0,NA,NA
"1226",2,2,0,NA,NA,NA
"1227",2,2,0,NA,NA,NA
"1228",1,3,0,1,741,714
"1229",1,1,1,NA,NA,NA
"1230",2,1,4,NA,NA,NA
"1231",2,3,0,0,674,707
"1232",1,3,1,NA,NA,NA
"1233",2,3,0,NA,NA,NA
"1234",2,3,0,NA,NA,NA
"1235",1,1,3,1,736,782
"1236",1,2,0,NA,725,744
"1237",1,3,0,NA,NA,NA
"1238",2,1,3,NA,NA,NA
"1239",2,2,2,0,658,698
"1240",2,1,4,NA,729,741
"1241",1,2,0,0,NA,NA
"1242",1,2,0,NA,NA,NA
"1243",1,3,0,1,629,703
"1244",1,2,0,NA,NA,NA
"1245",1,3,0,1,NA,NA
"1246",2,2,0,NA,NA,NA
"1247",1,2,0,0,NA,NA
"1248",2,1,4,1,NA,NA
"1249",1,1,1,NA,NA,NA
"1250",1,2,0,NA,NA,NA
"1251",1,1,1,NA,NA,NA
"1252",1,2,0,NA,NA,NA
"1253",1,3,0,NA,NA,NA
"1254",2,3,0,NA,687,724
"1255",2,3,0,NA,NA,NA
"1256",1,1,4,1,679,742
"1257",2,3,0,0,NA,NA
"1258",1,1,4,1,731,737
"1259",1,3,1,1,NA,NA
"1260",1,2,0,1,NA,NA
"1261",2,2,1,1,NA,NA
"1262",2,1,3,1,NA,NA
"1263",2,1,3,NA,NA,NA
"1264",1,3,0,NA,NA,NA
"1265",1,2,0,NA,NA,NA
"1266",2,3,0,NA,NA,NA
"1267",2,1,4,NA,652,708
"1268",2,2,0,1,821,778
"1269",1,2,0,1,686,750
"1270",2,3,0,NA,NA,NA
"1271",1,1,4,1,704,722
"1272",1,3,0,1,NA,NA
"1273",1,1,2,NA,NA,NA
"1274",2,1,3,NA,NA,NA
"1275",1,2,0,1,758,836
"1276",1,1,4,1,724,723
"1277",1,3,3,1,721,727
"1278",2,2,0,NA,NA,NA
"1279",1,1,1,NA,659,689
"1280",1,2,0,1,728,750
"1281",2,3,0,NA,NA,NA
"1282",2,1,4,1,740,760
"1283",1,3,0,NA,NA,NA
"1284",2,3,0,1,NA,NA
"1285",2,2,0,1,728,676
"1286",1,1,4,1,821,784
"1287",1,2,0,NA,NA,NA
"1288",1,2,0,NA,NA,NA
"1289",1,2,0,1,648,677
"1290",1,3,0,1,726,695
"1291",1,3,0,NA,677,748
"1292",2,1,4,1,716,720
"1293",1,3,0,1,724,737
"1294",2,1,4,1,702,699
"1295",1,1,1,NA,NA,NA
"1296",1,2,0,1,NA,NA
"1297",1,1,1,0,NA,NA
"1298",1,2,0,NA,726,785
"1299",1,1,4,1,719,836
"1300",2,1,4,1,741,729
"1301",1,2,0,1,NA,NA
"1302",1,1,4,0,NA,NA
"1303",1,3,0,NA,741,663
"1304",1,2,0,NA,NA,NA
"1305",1,1,2,NA,NA,NA
"1306",1,2,0,NA,701,685
"1307",1,1,4,1,670,NA
"1308",1,3,0,1,NA,NA
"1309",2,2,0,0,625,685
"1310",2,3,0,1,NA,NA
"1311",2,1,4,1,715,696
"1312",1,1,4,1,692,744
"1313",2,2,0,NA,NA,NA
"1314",2,3,0,NA,NA,NA
"1315",1,1,4,NA,730,785
"1316",1,3,0,NA,NA,NA
"1317",1,2,0,NA,675,710
"1318",1,2,0,NA,NA,NA
"1319",2,3,0,NA,NA,NA
"1320",2,3,0,NA,692,696
"1321",2,3,0,NA,NA,NA
"1322",2,2,0,1,639,635
"1323",1,1,1,NA,NA,NA
"1324",1,1,4,1,677,740
"1325",2,1,1,NA,NA,NA
"1326",2,1,1,NA,NA,NA
"1327",2,3,0,0,NA,NA
"1328",2,3,0,NA,NA,NA
"1329",2,2,0,1,NA,NA
"1330",2,1,2,NA,657,674
"1331",2,1,4,1,699,740
"1332",1,3,0,NA,NA,NA
"1333",2,2,1,NA,NA,NA
"1334",2,1,4,1,NA,NA
"1335",2,1,1,NA,NA,NA
"1336",2,3,0,NA,NA,NA
"1337",1,3,0,1,719,764
"1338",2,1,1,NA,NA,NA
"1339",2,2,0,NA,NA,NA
"1340",1,1,1,0,NA,NA
"1341",1,3,0,NA,NA,NA
"1342",2,1,4,NA,821,778
"1343",1,3,0,NA,NA,NA
"1344",1,2,0,1,NA,NA
"1345",1,3,0,1,NA,NA
"1346",2,3,1,1,758,836
"1347",2,2,3,1,NA,NA
"1348",2,3,0,0,NA,NA
"1349",2,2,0,1,NA,NA
"1350",1,2,0,1,NA,NA
"1351",1,3,0,NA,NA,NA
"1352",1,1,4,0,705,785
"1353",1,3,0,1,768,705
"1354",1,1,2,1,NA,NA
"1355",2,2,0,1,NA,NA
"1356",1,1,3,1,667,739
"1357",2,1,4,NA,NA,NA
"1358",1,2,0,1,728,698
"1359",2,1,1,NA,NA,NA
"1360",2,2,0,NA,671,586
"1361",1,3,0,NA,NA,NA
"1362",1,2,0,NA,NA,NA
"1363",1,2,0,NA,NA,NA
"1364",2,3,0,NA,NA,NA
"1365",1,3,0,1,691,716
"1366",1,3,0,NA,NA,NA
"1367",1,3,0,1,NA,NA
"1368",2,2,0,NA,700,688
"1369",2,3,2,1,NA,NA
"1370",2,2,0,NA,731,695
"1371",1,1,4,1,715,683
"1372",1,3,0,1,755,690
"1373",2,1,3,NA,NA,NA
"1374",1,2,0,1,NA,NA
"1375",2,1,4,NA,707,671
"1376",2,3,0,NA,NA,NA
"1377",1,3,0,NA,NA,NA
"1378",2,2,0,1,688,689
"1379",1,1,4,NA,705,682
"1380",2,3,3,0,680,721
"1381",2,3,0,1,758,722
"1382",2,3,0,NA,NA,NA
"1383",2,3,0,1,NA,NA
"1384",1,1,4,1,717,723
"1385",1,2,3,NA,NA,NA
"1386",2,2,1,1,696,648
"1387",2,1,4,1,NA,NA
"1388",2,2,0,NA,NA,NA
"1389",1,3,0,1,NA,NA
"1390",2,2,0,0,NA,NA
"1391",2,1,4,NA,742,836
"1392",2,3,0,NA,705,647
"1393",2,3,0,NA,NA,NA
"1394",2,1,2,NA,NA,NA
"1395",2,3,0,1,NA,NA
"1396",2,1,4,1,655,700
"1397",2,1,4,1,711,692
"1398",2,3,0,NA,NA,NA
"1399",2,3,0,1,NA,NA
"1400",1,1,3,NA,NA,NA
"1401",2,3,0,NA,NA,NA
"1402",1,2,0,NA,NA,NA
"1403",2,3,0,NA,NA,NA
"1404",2,1,2,1,NA,NA
"1405",2,2,0,1,NA,NA
"1406",1,1,3,1,NA,NA
"1407",1,3,0,NA,726,727
"1408",2,2,0,NA,NA,NA
"1409",1,2,0,0,NA,NA
"1410",1,3,0,1,758,733
"1411",1,3,0,1,821,742
"1412",1,1,1,1,NA,NA
"1413",1,1,4,1,627,702
"1414",1,2,1,1,709,741
"1415",1,1,2,1,NA,NA
"1416",2,1,3,NA,NA,NA
"1417",2,2,0,NA,NA,NA
"1418",1,2,0,NA,NA,NA
"1419",1,1,4,NA,NA,NA
"1420",1,1,4,1,668,528
"1421",2,3,0,NA,668,589
"1422",1,2,0,1,690,688
"1423",1,3,0,1,821,836
"1424",2,1,4,0,702,737
"1425",2,3,0,1,NA,NA
"1426",2,3,0,NA,NA,NA
"1427",1,2,0,NA,NA,NA
"1428",2,3,0,1,NA,NA
"1429",1,1,4,1,821,836
"1430",2,3,0,0,NA,NA
"1431",2,1,3,1,NA,NA
"1432",2,2,0,0,NA,NA
"1433",1,1,3,0,NA,NA
"1434",2,2,0,1,758,715
"1435",1,3,0,NA,NA,NA
"1436",1,1,2,NA,NA,NA
"1437",1,2,0,NA,NA,NA
"1438",1,3,0,1,661,695
"1439",2,1,2,1,NA,NA
"1440",1,3,0,1,738,762
"1441",2,2,0,NA,706,719
"1442",2,3,0,NA,NA,NA
"1443",1,2,0,NA,NA,NA
"1444",2,3,0,NA,NA,NA
"1445",2,2,0,NA,NA,NA
"1446",1,3,0,NA,NA,NA
"1447",1,1,1,NA,NA,NA
"1448",1,2,0,1,767,728
"1449",1,1,4,NA,734,794
"1450",1,2,0,0,667,744
"1451",1,2,0,NA,NA,NA
"1452",2,1,3,NA,NA,NA
"1453",1,2,0,NA,NA,NA
"1454",1,2,2,1,758,750
"1455",1,2,0,NA,539,528
"1456",1,3,0,1,NA,NA
"1457",2,1,1,NA,NA,NA
"1458",1,1,2,NA,NA,NA
"1459",2,3,0,NA,709,727
"1460",2,2,0,NA,NA,NA
"1461",2,3,0,1,733,684
"1462",1,1,4,1,693,680
"1463",1,3,0,0,NA,NA
"1464",2,3,0,1,NA,NA
"1465",1,1,4,1,702,714
"1466",2,2,0,NA,NA,NA
"1467",1,2,0,1,691,699
"1468",1,2,0,1,NA,NA
"1469",1,1,4,1,706,730
"1470",1,3,0,1,NA,NA
"1471",1,1,4,0,663,677
"1472",2,3,0,1,NA,NA
"1473",1,3,0,1,708,731
"1474",1,2,2,1,689,717
"1475",2,3,0,NA,NA,NA
"1476",2,1,1,1,687,NA
"1477",2,1,2,NA,NA,NA
"1478",2,2,0,NA,NA,NA
"1479",2,1,2,NA,NA,NA
"1480",2,2,0,NA,NA,NA
"1481",2,3,0,NA,NA,NA
"1482",2,1,4,NA,NA,NA
"1483",1,1,2,1,715,689
"1484",1,1,2,NA,NA,NA
"1485",1,1,3,NA,NA,NA
"1486",2,3,1,1,NA,NA
"1487",2,3,1,0,NA,NA
"1488",1,2,3,NA,744,724
"1489",1,3,0,1,741,682
"1490",1,3,3,1,733,760
"1491",1,2,0,1,704,731
"1492",2,2,0,NA,NA,NA
"1493",1,2,0,1,744,760
"1494",1,3,0,NA,697,782
"1495",2,1,1,NA,NA,NA
"1496",2,3,0,NA,NA,NA
"1497",2,3,0,NA,NA,NA
"1498",1,2,0,1,740,750
"1499",1,1,4,1,758,742
"1500",2,1,4,NA,NA,NA
"1501",1,3,3,1,710,741
"1502",2,2,0,NA,NA,NA
"1503",1,3,0,1,NA,NA
"1504",1,2,0,1,727,767
"1505",2,1,1,NA,NA,NA
"1506",1,2,2,0,659,728
"1507",2,3,0,1,NA,NA
"1508",2,3,0,NA,NA,NA
"1509",1,3,0,NA,NA,NA
"1510",1,1,1,NA,NA,NA
"1511",1,1,4,1,758,836
"1512",1,1,4,NA,NA,NA
"1513",1,1,1,NA,NA,NA
"1514",2,1,1,NA,NA,NA
"1515",2,1,3,NA,NA,NA
"1516",2,3,1,NA,NA,NA
"1517",2,3,0,NA,NA,NA
"1518",1,2,0,NA,NA,NA
"1519",2,3,0,1,736,717
"1520",1,1,1,NA,NA,NA
"1521",1,1,4,NA,NA,NA
"1522",1,1,2,NA,NA,NA
"1523",1,2,2,1,NA,NA
"1524",2,3,0,NA,NA,NA
"1525",1,3,0,1,NA,NA
"1526",2,1,4,NA,731,686
"1527",2,1,1,NA,NA,NA
"1528",2,2,0,NA,NA,NA
"1529",2,1,3,NA,NA,NA
"1530",2,1,3,NA,NA,NA
"1531",2,3,0,1,NA,NA
"1532",2,2,0,1,NA,NA
"1533",2,1,1,NA,NA,NA
"1534",2,3,1,1,700,634
"1535",1,3,1,0,NA,NA
"1536",1,3,0,1,NA,NA
"1537",1,1,1,1,NA,NA
"1538",2,2,0,0,NA,NA
"1539",2,2,0,1,738,642
"1540",1,3,0,1,NA,NA
"1541",2,3,0,NA,NA,NA
"1542",1,3,0,NA,NA,NA
"1543",1,1,1,NA,NA,NA
"1544",1,2,0,NA,NA,NA
"1545",1,1,4,NA,701,672
"1546",1,3,0,NA,NA,NA
"1547",2,2,0,NA,NA,NA
"1548",1,1,4,1,690,701
"1549",2,3,0,NA,NA,NA
"1550",1,2,0,NA,667,651
"1551",1,2,0,1,707,758
"1552",1,3,0,1,667,700
"1553",2,2,0,NA,NA,NA
"1554",2,1,1,NA,NA,NA
"1555",2,1,1,1,NA,NA
"1556",2,2,0,NA,NA,NA
"1557",2,2,0,1,NA,NA
"1558",2,1,2,NA,NA,NA
"1559",2,2,0,NA,NA,NA
"1560",1,3,0,NA,698,720
"1561",1,3,0,1,NA,NA
"1562",1,1,2,1,NA,NA
"1563",1,1,1,NA,NA,NA
"1564",1,3,0,1,NA,NA
"1565",2,3,0,NA,NA,NA
"1566",1,2,0,NA,821,836
"1567",1,3,0,1,742,763
"1568",1,2,0,1,729,695
"1569",2,1,4,1,NA,NA
"1570",1,2,0,NA,665,681
"1571",1,2,0,0,NA,NA
"1572",1,1,3,0,758,707
"1573",2,3,2,NA,651,710
"1574",1,2,0,1,664,725
"1575",1,3,0,NA,NA,NA
"1576",1,2,0,NA,NA,NA
"1577",1,2,0,1,NA,NA
"1578",1,3,0,NA,NA,NA
"1579",2,1,3,NA,NA,NA
"1580",1,1,1,NA,NA,NA
"1581",1,2,0,1,NA,NA
"1582",2,3,0,1,NA,NA
"1583",2,3,0,NA,NA,NA
"1584",1,3,0,1,NA,NA
"1585",2,1,4,NA,698,660
"1586",2,3,0,NA,NA,NA
"1587",1,2,0,NA,NA,NA
"1588",2,1,4,1,683,701
"1589",2,2,0,NA,NA,NA
"1590",2,2,0,NA,NA,NA
"1591",1,3,1,1,702,734
"1592",1,1,4,NA,692,678
"1593",1,1,3,NA,NA,NA
"1594",1,2,0,NA,741,782
"1595",1,2,0,1,NA,NA
"1596",1,2,0,NA,NA,NA
"1597",1,3,0,NA,NA,NA
"1598",2,3,0,NA,NA,NA
"1599",1,3,0,NA,NA,NA
"1600",1,3,0,1,NA,NA
"1601",1,3,0,NA,NA,NA
"1602",2,1,1,NA,NA,NA
"1603",1,1,4,1,725,730
"1604",2,3,0,1,NA,NA
"1605",2,2,0,NA,NA,NA
"1606",2,1,4,NA,650,662
"1607",2,3,0,NA,NA,NA
"1608",2,2,0,NA,NA,NA
"1609",2,1,1,NA,NA,NA
"1610",1,3,0,NA,NA,NA
"1611",1,2,0,NA,729,712
"1612",1,1,4,NA,711,661
"1613",1,3,0,1,NA,NA
"1614",1,2,0,NA,NA,NA
"1615",2,1,1,1,NA,NA
"1616",1,1,2,1,NA,NA
"1617",1,1,1,NA,NA,NA
"1618",1,3,0,1,686,699
"1619",1,2,0,NA,678,699
"1620",1,3,0,NA,NA,NA
"1621",1,3,1,NA,758,731
"1622",2,2,3,NA,NA,NA
"1623",1,2,0,NA,NA,NA
"1624",2,1,4,1,NA,NA
"1625",2,2,0,1,693,669
"1626",1,2,0,1,696,720
"1627",1,1,4,1,701,686
"1628",1,1,4,1,710,694
"1629",1,3,0,NA,NA,NA
"1630",1,1,1,0,NA,NA
"1631",2,2,3,1,NA,NA
"1632",1,2,0,NA,NA,NA
"1633",1,2,0,NA,720,691
"1634",1,3,0,1,NA,NA
